question,answer
what is a cash accumulation fund life insurance?,"this could be a few different things , but generally speaking it 's a life insurance policy with a non-forfeiture benefit -lrb- aka an ability to accumulate a cash value that can be redeemed upon policy surrender or used to provide for a degree of policy benefits if the policy holder decides he or she no longer wishes to pay the premium due on the original policy -rrb- ."
why should i put my life insurance in trust?,"there are a number of reasons , depending on the type of trust . some trusts help protect the funds from fro example . there are also tax and estate considerations . whether to put the insurance in a trust depends on your individual circumstances and requires the advice of a good agent or planner to help determine the advantages to you and the type of trust you should use ."
can i get disability insurance if pregnant?,no you will have to wait until the baby is born . no insurance company will want to accept the increased risk of complications . disability policies are designed to protect againstunforeseenrisks . if the company knows you are pregnant then it also knows that there may be a period of time you will not be able to work after the baby comes . it would be buying a claim .
can i get disability insurance if pregnant?,"can i get disability insurance when pregnant ? well possibly , but you wo n't like that they would exclude covering time off for the pregnancy as it is a pre-existing condition . depending on your health at the time , and where you are at in the pregnancy , you could be covered , but not for the pregnancy ."
when does a life insurance policy become effective?,"the timing of life insurance becoming effective depends on a few things . if you apply for life insurance and submit the minimum initial premium with the application , the company 's conditional receipt '' will determine when the coverage begins . each company 's terms will be a little different . if you applied for the insurance without submitting any premium , the coverage usually would n't begin until after the application is approved and you submit the initial premium ."
can you get your life insurance license with a misdemeanor?,"yes . almost anyone can get life insurance . the difference is the company , type , amount of coverage , and the rate paid . each company has its own set of policies offered and standards for each of those policies . there are many life insurance companies out there . if one does not have a product that fits your needs seek another . do use a local agent that you are comfortable with this will help should you ever have other questions about your policy or need to re-evaluate your coverage . it will be a point of contact that you are already familiar with ."
can you get life insurance with ms?,"there are four basic types of multiple sclerosis -lrb- ms -rrb- relapsing-remitting , primary-progressive , secondary-progressive , and progressive-relapsing . obtaining coverage depends on your age of onset , the number of attacks , the latest attack , the treatment and medications youre on . generally speaking , standard issue for a nonsmoker is the best health classification is most mild cases of ms. declination if you were just diagnosed within the last year ."
what does face value on life insurance mean?,"the face amount of your life insurance policy is the amount your beneficiary would receive if you died , also called the death benefit . it is the amount of coverage you applied for , in term insurance -lrb- as long as the term was not decreasing term , in which case the face amount would decrease over time -rrb- . with permanent in insurance , the face amount might grow ."
what does face value on life insurance mean?,"the face amount of your life insurance policy is the amount of coverage you bought when you purchased the policy , or the amount that someone else bought to insure your life . in term insurance , the face amount is usually the same as the death benefit . with permanent in insurance , the face amount might grow , or it could be reduced by policy loans ."
is it ok to cancel life insurance?,"that is truly up to the policy owner . if you are purchasing a new policy that is providing for your coverage needs better than the current policy then it may . in most cases though depending on the amount of time that the life insurance policy has been in effect , it is not recommended to cancel a life insurance policy unless it is absolutely necessary . all licensed agent are ethically obligated to provide information that helps the proposed client make a decision that is in their best interest not that of the agent ."
who owns globe life insurance?,"per globe life 's website , globe life and accident insurance company is a wholly owned subsidiary of the touchmark corporation , which is a holding company that specializes in life and supplemental health insurance , and has its main office in mckinney , tx . globe life 's home office is located in oklahoma city , oklahoma ."
how long does a life insurance physical take?,it takes around one hour . they come to you . they will ask you some general questions about your health . then they will check your blood pressure and your height and weight . they will take a blood sample and a urine sample . once they have done the physical it usually takes another month or longer to get an offer from the life insurance company .
is there a time limit to claim life insurance?,"there is no time limit to claim life insurance , that i am aware of . sometimes policies are not located until listed as missing property by the state , and the insurance company is still obligated to pay the beneficiary the life insurance proceeds as part of the contractual agreement of the policy ."
can i get a life insurance policy on my boyfriend?,"there are many ways to demonstrate the existence of an insurable interest . if your boyfriend wants you to have a policy on his life , there shouldnt be any difficulty . if you decide to do that he would have to sign the application and medical releases and you would have to sign the application as the owner and premium payer ."
why do health insurance companies deny claims?,"generally , medical claim disputes occur over contract definitions , perceived benefits not covered and various forms of fraud , i.e. misstatements , misleading information or material omission of fact . -lrb- sometimes the agent has misrepresented the benefits as well . -rrb- sometimes benefits are not paid until deductibles are satisfied andor late payments beyond the grace period ."
when does the beneficiary collect from a life insurance policy?,"that is a great question ! the only way that a beneficiary can get any money out of a policy is when the insured passes away . at that point , the beneficiary needs to contact the insurance company and file a claim . there will be forms to fill out and send in , and the death certificate will need to be sent also . once all of the details are sorted out , the insurance company writes the check , and it is issued . thanks for asking !"
is life insurance subject to creditor claims?,life insurance death benefits pass from your companyto your beneficiary . if you owe money to someone they can only take action if you withdraw money from the policy . the death benefit is someone elses property . it could be that your beneficiarys creditor might take action upon their receipt of the proceeds .
is life insurance subject to creditor claims?,"no , life insurance is generally not subject to creditor claims upon death . if you are alive , and have cash value within a life insurance policy , it may be subject to creditor claims is you are taking money out of it , especially as a withdrawal . generally speaking life insurance death benefits are free from probate , meaning no claims can be made ."
does smoking void a life insurance policy?,great question . it all depends on the stituation . if you buy a life policy and did not smoke and started to smoke after you purchase the policy . it would be okay . if you lied on the application and you died from smoking issues the insurance company will look at the claim and investigage it more .
why to buy whole life insurance?,"because you want to be sure that your life insurance will always be there , regardless of your age or your health . it can never be canceled . it can never increase in price . so long as you pay the premium , you are covered and your family is protected , forever . and as it appreciates in value , which term will never do , you can even borrow against it for whatever you want , and keep the money as long as you want tax free . if you repay the loan , it will keep the same death benefit , if not , it will be reduced by the loan . as it grows , you can even use the proceeds to pay the premium . thank you . gary lane ."
what does it mean when your life insurance matures?,"if by mature you mean endows or the policy period ends , there are a few things that may happen.if the policy is whole life and has a maturity date , then the cash values exceeding basis will be taxed at ordinary income tax rates . if you have received policy loans and did not pay the loan interest , but used policy cash values to pay the charges , you will have a phantom income ordinary tax event on loans you have received and cash values remaining in the policy . in some polices coverage simply ceases . highly unlikely , but all this could happen ."
how does high cholesterol affect life insurance?,"high cholesterol effects your efforts in purchasing life insurance by moving you away from the best possible class you could obtain , and if your level is high enough , a possible decline of coverage . high cholesterol has been linked to heart problems and other ailments . elevated cholesterol levels could lead to a heart attack and an early death . something an underwriter accounts for ."
can i take out life insurance on my grandparents?,"you can take out life insurance on your parents if the reason is other than financial gain . the amount that can be taken out will be based on the income and net worth of your grandparents , whether they are medically insurable -lrb- although even terminally ill grandparents can get small amounts of guaranteed issue coverage -rrb- , and if they consent to signing the application and doing the exam or phone interview that may be required . if you are the owner andor beneficiary of the policy , the amount of coverage will also depend on reason for the policy . e.g. . you could take out a a policy on your grandparents if you live with them , and you would lose your home as a result of their passing . or if you wish to pay for their funerals . just ask your agent ahead of time so that it will all go smoothly and you do not put your grandparents through unnecessary stress applying for a policy that the insurance company may not approve ."
is life insurance community property?,"california is a community property state . there are only a few states in this group . in california a life insurance policy would be considered community property unless it was purchased entirely with non-community property assets . this would be very unusual . the thing that is important is that the policyholder in california can not act independently of their spouse . that is the policyholder can not change the beneficiary , take out a policy loan or surrender a policy without the signature of their spouse ."
can a life insurance policy expire?,"it can , yes . especially if it is a term product , it is important to keep up with your regular premium installment payments . since in a term contract , there is no insidecash accumulation , if the premiums are not paid , the policy will espire for non-payment of premium . in a permanent product , it may be possible to have the coverage continue without premium payment , by an automatic premium loan provision or other means . you need to check with your insurance professional about the terms and conditions of your particular policy ."
does life insurance pay out for a drunk driving death?,"depending on the policy terms , yes a life insurance policy would pay a death benefit to the stated beneficiary . an individual policy usually has no provision against paying a claim in this case . plans that might exclude payment could be add plans and possibly some group life insurance plans . if you own life insurance , it is always best to review your policy to know exactly what if anything , is excluded from payout ."
why buy voluntary life insurance?,"to protect the financial future of your family should you pass away unexpectedly . if you died tomorrow . what kind of debt would you leave your family strapped with ? would you want your kids to be able to go to college ? do you have a charity that you would like to leave a legacy with ? life insurance can help provide for your family 's financial future in the event of your passing . as always , remember every policy is different . please read your policy completely to know what coverage is provided and what exclusions there may be or contact your local agent to have them go over the policy with you ."
what is disability insurance used for?,"disability insurance pays you a benefit when you ca n't work because of illness andor sickness . it 's fundamentally paycheck protection . generally speaking non deductible disability premiums generate tax free benefits after the waiting or elimination period is completed . when you consider that most working americans do not have sustainable cash reserves to weather a periods of disability , the protection becomes valuable ."
does disability insurance cover unemployment?,"disability insurance does not usually cover unemployment . that is because disability insurance pays out based on whether or not you ca n't work , while unemployment pays out based on whether or not you can -lrb- and are willing to -rrb- work . in fact , if you apply for unemployment payments while you are applying for disability payments , the di company may deny your claim due to conflicting statements ."
what is select term life insurance?,"the term select '' when dealing with any type of life insurance is meaningless . there are internet sites that have that word in their name , perhaps because they have already determined which companies to offer coverage from . this is just advertising but with no real value for the consumer , on the internet or off ."
will life insurance test for drugs?,"if the policy you are applying for requires a physical with blood , and urine then yes . some smaller policies do not require a physical , however there is a question on the application regarding illegal drug use . if you answer no to that question and it is found that you lied o the application your policy can be rescinded and premiums returned ."
what is voluntary spouse life insurance?,"voluntary spouse life insurance is the part of group life insurance offered to the spouses of employees . voluntary life insurance is optional , and the employee -lrb- rather than the employer -rrb- pays the premium . unless the policy is portable for both employees and spouses alike , when the employee leaves the place of business , the voluntary spouse life insurance would end ."
how to change medigap policies?,"you can apply for a new medigap plan at any point during the year . people often change their medigap plans for a number of reasons , the most common being you want to reduce your expenses by securing a lower premium from a policy with the same benefits -lrb- purchasing a plan f with company b and dropping the existing plan f with company a -rrb- . - this is the most common reason why people change their medigap plans . medigap plans are standardized so the coverage under a plan f is the same regardless of the company it 's through . so often people want to look at lowering their premiums when their policy gets hit with a rate increase . you may not needwant all of the benefits you 're paying for or you needwant more benefits than you have under your existing plan . please note , if you do not have a guaranteed-issue right to purchase a medigap plan without any medical underwriting , you would have to answer the health questions on the application . medigap plans are guaranteed renewable . so in the event you could not medically qualify for coverage under a new medigap plan , you always have the option of keeping what you have . i hope the information is helpful - please feel free to contact me for assistance with your medigap coverage , including quotes and plan comparisons , and if you have any other questions . thanks very much ."
how long does it take to get life insurance?,"getting life insurance can take from one day to several months . if you are getting a policy that does not require a physical and that can be signed digitally , it can be in effect in as short as a day . if you are applying for a large policy and have health conditions that require the gathering of medical records , the process can take much longer . the determining factor is often how quickly the doctor records are received , how quickly the exam is completed , and whether the underwriter adds additional requirements after doing their review ."
does blue cross blue shield offer life insurance?,"usually life insurance is sold by a blue cross blue shield organization affliiated company only in a group plan format . . by affiliated company , i mean a private company associated with blue cross blue shield as there may be some restrictions on the blue cross blue shield organization that prevents direct sales ."
should i exaggerate my income in order to qualify for health insurance subsidy?,"you really ca n't . your financial records , primarily your tax returns will be reviewed as part of the underwriting and screening process . that having been said , let 's face it , it is never a good idea to lie or fabricate on an insurance application of any kind . that sort of misrepresentation is called fraud and at the very least when discovered will pretty much guarantee that your premium for the insurance contract will be increased or the contract considered null and void ."
what type of life insurance is best?,the best life insurance policy is the policy that is in force on the date of your death . it is the only policy that will pay a death claim . regardless of the price this policy will always cost less than the death benefit . another way to determine what policy is best is to consider your needs and buy a policy that protects you during the time that you need protection .
where should i buy life insurance?,you should purchase life insurance from an independent agent or brokerage source that has access to the majority of life insurance companies that do business in the u.s. objectivity in published brokerage spreadsheets can position you to make a wise determination on what life insurance company to buy based on their premium rank and policy provisions .
how to cash in a whole life insurance policy?,"the cash value of a whole life policy is guaranteed . most companies require an application to surrender a policy . in community property states , the rights of a spouse must be considered . once that is settled the company will quickly send you a check for the surrender value , minus unpaid loans , and over-due premiums the policy will be void as soon as you cash the check !"
how to cash in a whole life insurance policy?,"the policy-owner can either contact the agent or the insurance company directly to request the company 's surrender forms . at the same time , request a policy value quote to ensure there will be no surprises when you receive the payment . not all whole life policies have surrender charges but , if so , and if the policy is still in the surrender period , the cash value will be reduced by a surrender charge -lrb- charge for early penalty -rrb- . the cash value may be further reduced by any outstanding policy loan . if the cash value does not exceed the cumulative premiums paid into the contract , there should n't be any taxable issues ."
what does health insurance rated mean?,"a rated health insurance plan is one that includes a premium surcharge or load . the standard or preferred rate is insufficient to support the risk presented by the individual applying for health insurance . in some cases the surcharge is temporary while some conditions may result in a permanent load . examples of a temporary load include tobacco use or excessive weight . once the individual has stopped using tobacco products for a designated time period , or weight loss has been achieved and maintained , the premium loads may be removed ."
where to purchase short term disability insurance?,"short term disability insurance can only be purchased when offered by an employer in a group plan , or from only a couple of companies for a private plan . to purchase a private policy , you can contact an agency that sells mutual of omaha or assurity products , as you will need to go through a broker to purchase a short term disability policy ."
can you get life insurance after breast cancer?,"breast cancer has four stages . depending on the stage , surgery performed and recovery management , i.e. regular checkups , etc. life insurance may be possible to obtain . depending upon the history and current medical condition there are three possible avenues to explore based on what stage the cancer is in fully underwritten , simplified issue or guaranteed issue ."
is life insurance required by law?,"based on my limited experience within my geographic location , life insurance is not required by law . life insurance is something that everyone should have though . if you can you should purchase a policy when you are young . the younger you are typically the lower your premium . please contact a local agent to find out about availability and pricing within your area ."
can health insurance companies tell if you smoke?,maybe ... . let 's say they ca n't and they just take your word for it - that you are a non smoker . was it worth the risk when the health or life insurance company finds out that you are a smoker and refuses to pay for anything because you lied ? just be honest .
does private health insurance cover an mri?,in most cases an mri will be covered under a major medical policy as long as it is a medically necessary diagnostic procedure . there may be some limitations so check with your insurance company to be sure you know the specifics to your policy as to any deductibles and copay 's and preferred facilities to have the test ran .
does disability insurance count as earned income?,"disability insurance can count as taxable income or it can be tax free . the simple way to determine if disability income benefits are going to be taxed or not is by determining who pays the premiums ? if you have your disability through an employer who pays your premiums and deducts them from the company taxes , then yes your disability benefits are taxed as income . if you purchase disability insurance and you pay the premiums which are not tax deductible then your disability benefits are tax free . always consult a professional tax advisor as well when it comes to your taxes ."
does massachusetts have temporary disability insurance?,"at the time of this writing , the state of massachusetts does not offer temporary disability insurance to residents without disability insurance . in addition , massachusetts state laws do not require businesses to offer temporary disability insurance or to enforce mandatory sick time . so if you live in the state of massachusetts you still may receive short term andor long term disability coverage as a job benefit . but if you do not , it might be essential to purchase a private di policy in order to get this type of protection ."
who can cash out a life insurance policy?,"if by cashing out you mean surrendering the policy -lrb- a permanent policy which has cash value -rrb- , the owner of the life insurance policy has the only authority to do so . if the policy is lapsed by not paying any premium , then there really is nothing to surrender . a word of warning ... if you do cash out or surrender the policy be aware this may cause a taxable event ."
what is credit life insurance used for?,"what is credit life used for ? well mainly credit life is used to help secure a debt repayment in the borrower dies before the debt is repaid . credit life usually pays the financial institution to cover any remaining debt the insured may have with them . credit life is pretty expensive per dollar of coverage provided , but most credit life plans accept anyone based on the amount of money borrowed . credit life is great for those whose health would make the direct purchase of life insurance impossible ."
can you put life insurance on anyone?,life insurance is a mortality product designed to protect the beneficiaries from economic harm based on the death of the policy insured . there must be an established financial interest between the policy beneficiaries and the policy insured or the contract will not be issued . the policy insured must sign the life insurance application to agree to coverage on their life . the amount of coverage must also be justified through financial supported data .
is health insurance the same as medical insurance?,"yes . medical insurance is simply another name for health insurance - commonly seen in articles , referenced in discussions , and other times these names are mentioned . i hope the input is helpful - please feel free to contact me for help and if you have any other questions . thanks very much ."
does health insurance cover jaw surgery?,"that would depend on which health policy you have , and what kind of jaw surgery you need . many health insurance policies contain an exclusion that does not provide coverage for tmj , however , if you need any other type of jaw surgery that is deemed to be medically necessary by your physician , most all health insurance policies would provide coverage ."
how to cancel critical illness insurance?,"if this is an individual critical illness insurance policy , you simple call the company that issued the policy and tell them that you wish to cancel the policy . they will typically process the request . if you are paying the premiums monthly and on an electronic funds transfer , they will cancel the eft and refund any unearned premium ."
does critical illness insurance cover thyroid cancer?,"many critical illness policies consists of heart attack , stroke , renal failure , and cancer . some have separate coverages for cancer . cancer will be in that within that category as a critical illness , but , as a separate policy . it is best to have that added into the policy because there is a different lump sum payment for the treatment of the disease . depending on the company which will have different payment plans . for critical illness is for the extreme purpose of financial stability , and the cost for the treatment of the disease ."
when should i get whole life insurance?,you should buy a whole life insurance policy as soon as you can identify a need for the coverage . specifically it should be a need that you will not outlive . none of us will outlive final expenses and according to recent evidence these could be substantial . you shouldnt buy whole life insurance and neglect providing sufficient coverage to meet the current needs of those that you love . this is more important .
when should i get whole life insurance?,"that is an excellent question ! since the majority of companies will have fixed rates for the policy , it makes sense to purchase it as early as possible . many times i 'm asked - why should i buy insurance for my kids ? '' , and the answer is this - because kids pass also , and god willing they live long , healthy lives , they will never pay more that what the original premium price is . many policies will also offer the opportunity to increase their coverage without having to do any underwriting ! i hope that helps , thank you for asking !"
when should i get whole life insurance?,"when should i get whole life insurance ? yesterday ! whole life is a product that never gets cheaper '' so as soon as you can , purchase your coverage with what you can afford . this locks the price in and it will never rise , your cash values will never go backwards and most important , it is the only policy you control ."
does short term disability insurance cover maternity?,"in order for a disability insurance policy to pay for time off from work due to maternity or childbirth , it must be a short term disability policy . the terms of the policy will depend on which short term disability policy you choose . keep in mind that you can only purchase this type of coverage before becoming pregnant ."
what is disability insurance and how does it work?,"disability insurance is a type of policy that pays a cash benefit to the insured if the insured can not work due to an extended illness or injury . when buying the policy , you select an elimination period , which is the waiting period until the policy pays out . as a rule , the longer the elimination period , the lower the premium . if you become disabled '' -lrb- laid up with a bad back , chemo treatments , or any other range of impairments that can keep you from working -rrb- beyond the time of the elimination period , the policy will pay you cash until you are able to work again ."
things to know when shopping for health insurance?,things to know are whether you may or may not qualify for a tax credit to reduce premium . if your current doctor is in the network . qualifying life event during this sep -lrb- special enrollment period -rrb- opt for a short term plan during sep if you do not have a qualifying life event .
why do life insurance policies lapse?,"life insurance policies lapse if the premium is not paid on time . there is a one month grace period after the premium is due , and if the premium is not paid during that time , it will lapse . reinstatement is possible but it will take evidence of health that has not changed since taking out the policy ."
what happens if i cancel my term life insurance?,"if you cancel your term life insurance policy , your policy simply ends . since there is no cash value , you will not get any money back , and there are no monetary penalties for cancellation of term life insurance . if you want coverage in the future , you will have to reapply for a new policy ."
does health insurance pay for tubal ligation?,"it will depend on the specifics of your health plan , but since a tubal ligation is not a medical necessity it likely would not be covered . another issue concerns medical complications from the tubal ligation procedure . in most cases , complications would be a covered expense even though the original procedure was not ."
what is an economic life insurance policy?,"economic life insurance is another name for economatic life insurance , or enhanced whole life . this is one of the categories of whole life . economic whole life policies combine term and participating life insurance . if dividends are paid , it is applied to paid up insurance , which in turn reduces the term coverage . the total coverage remains the same the paid up additions gradually replace the term coverage with permanent coverage ."
how do i buy term life insurance?,"i recommend that you contact a life insurance agent . the agent will listen to you , provide sound financial advice and communicate clearly with you and the company . setting the limits of the policy is critical . the agents recommendations can match your needs with your ability to pay . the peace of mind knowing that you have the coverage that you need is valuable ."
how to get health insurance when cobra runs out?,"you can easily get health insurance when you have exhausted cobra . an experienced broker -lrb- and our websites -rrb- will help you find affordable coverage through your state exchange , which provides guaranteed benefits with a federal subsidy -lrb- if you qualify -rrb- . pre-existing conditions will be covered and you can not be turned down for medical reasons . four metal plans will be offered along with a catastrophic option , if your household income meets specific requirements . typically , there is a window of time to take advantage of the offer ."
what is life insurance net cash value face amount?,"the net cash value of life insurance is the amount of cash you would receive if you cancelled the policy . net '' cash value is the total accumulated cash value minus any outstanding loans , surrender charges , etc. . the face amount is the amount of coverage you originally took out . the net cash value may or may not be the same as the face amount ."
how much is health insurance for a small business?,"group health insurance quotes are based on the size of your business , the industrys sic code , age of employees , and average employee health -lrb- except in maryland , which requires no medical underwriting -rrb- . there are no instant online quotes for group health insurance for these reasons . to get a quote for group coverage , you 'll need to contact a health insurance agent - working with an independent one will allow you to shop for quotes from multiple companies in one place . i hope the information is helpful - please feel free to contact me for help with your health insurance needs and if you have any other questions . thanks very much ."
how long does it take to collect life insurance?,"once the life insurance company has been notified of the death , a claim form must be filled out and returned to the life insurance company with a death certificate . getting the death certificate is sometimes the longest part of the process . once the insurance company receives the death claim form and death certificate , they usually pay the death benefit within weeks ."
how much does group health insurance cost a small business?,"group health insurance quotes are based on the size of your business , the industrys sic code , age of employees , and average employee health -lrb- except in maryland , which requires no medical underwriting -rrb- . there are no instant online quotes for group health insurance for these reasons . to get a quote for group coverage , you 'll need to contact a health insurance agent - working with an independent one will allow you to shop for quotes from multiple companies in one place . i hope the information is helpful - please feel free to contact me for help with your health insurance needs and if you have any other questions . thanks very much ."
how much is medigap plan f?,"truly depends on your state -lrb- or zip code -rrb- , your age , height and weight -lrb- with some companies -rrb- and if a smoker . the price is also affected by the insurance company 's pool of people -lrb- insureds -rrb- and their claims . often , plans with a sicker pool of people will have a higher premium . insurance companies with fewer underwriting questions , tend to have a sicker pool , thus higher rates . marketing budgets will also effect premiums . if you see a plan advertised heavily , it will be reflected in the rates . companies with a more strict underwriting guidelines will have a health pool of people and rates will tend to be lower ."
how much is medigap plan f?,"the premium you will pay for plan f varies from insurance company to insurance company and from state to state . i would suggest that you take a long term view here and investigate the companies that sell plan f in your state . try to find information on their historic premium increases . the company that is the lowest initially , may not be the company that will be the least expensive over the long term ."
is disability insurance deductible as a medical expense?,"disability insurance is not deductible as a medical expense . however , it can be deducted as a business expense for those who are self employed and own their own disability insurance policies . keep in mind that if you declare your disability insurance premiums as a tax deduction , the disability benefit that would normally go to you tax free in the event of you becoming disabled , would then likely be taxable ."
can life insurance go to a trust?,"yes . a trust can be very advantageous depending on the reason for the trust and the type of trust . for example , you can use a funeral trust as a way to pre-fund your funeral and protect your life insurance from spend down . an experienced agent can look at your individual situation and help determine if a trust would benefit you ."
what is the cash surrender value of a term life insurance policy?,"that is a great question , and i really wish that i had as good an answer to give you ! term policies are cheap , because they offer very little besides the cost of the insurance . there is no cash accumulation in a term policy , so unfortunately there is nothing to surrender to you if you end the policy . if you decide to cancel the policy the only thing that you will get from doing so is no more payments to make . it ends as if it never existed . the only way there would be a chance to get anything back was if you had paid to put a return of premium rider on the policy , and even then generally you have to ride the policy to it 's term date to see any of that back . i hate to be the bearer of bad news , but i am glad that you asked . thanks !"
is there a cash value on term life insurance?,"since life insurance is largely a matter of mathematics , there have been and are policies available that combine term insurance with cash value . in order to accumulate the cash value the company raises the premium so that it can build small cash value . traditionally these policies have addressed specific concerns such as the enormous increase that the premium takes at the end of the term . generally speaking you get what you pay for . it could be a benefit worthy of consideration ."
is there a cash value on term life insurance?,"in the united states , term life insurance rarely has cash value . people buy term life insurance to save money on premiums . the trade off is that they get protection in case of death , without the added convenience of having cash value that most permanent policies provide . and they only get a death benefit if they die during the term , as opposed to having the lifetime protection that most permanent policies provide ."
is term life insurance cheaper than whole life insurance?,"a whole life policy usually pays a death benefit . a term life policy rarely pays a death benefit . term insurance becomes most expensive when you need it most . a whole life policy charges the same premium throughout your lifetime . when you add up the premiums for a whole life policy , the death benefit is almost always much greater . since term policies rarely pay death benefits , the term policy is all cost ."
can whole life insurance be cashed out?,"the cash value represents the funds that the company has set aside to make sure that they can maintain your policy at a level premium until you die . any time that you dont want the coverage , the company is willing to give you the cash value in exchange for releasing them of their responsibility to pay a death claim . this is relatively simple and the company is generally quick to respond ."
can you get life insurance with hep c?,"yes , most people can get life insurance with hep c . if applying for a medically underwritten policy , the underwriter will look at your liver labs , whether you hepatitis c is stable , how long you have had it , results of your liver biopsy -lrb- if one was done -rrb- , the type of hep c you have , whether you had treatment -lrb- if so , was is successful -rrb- , whether you drink alcohol , and your overall health . if applying for a no exam policy , there are fewer questions and these are easier to get . every policy has a different set of questions , and some have no health questions at all . contact a specialist in hep c to purchase your life insurance policy so that you get placed with a company with whom you can qualify , and secure the lowest price ."
how does life insurance work when you die?,"your life insurance policy will have one or more beneficiaries listed as primary . when you die the primary beneficiary -lrb- s -rrb- file a death claim and send in a certified death certificate . the insurance company will mail or bank transfer the money to your beneficiary . if your primary beneficiary died before you did , it will be paid to your secondary beneficiary or to your estate if there is no living beneficiary ."
can you cash in your life insurance?,"assuming youre addressing permanent life insurance that has accumulated cash values , the following are some considerations before you cash in your life insurance . any gain in the policy will be taxed as ordinary income at the surrender or cashing in your policy . and cashing in the policy terminates the coverage ."
does beneficiary pay taxes on annuities?,"if you have had a non-qualified annuity for any length of time you most like have accumulated tax deferred earnings . this means that the growth in the annuity account value has not yet been taxed . when you die and the annuity proceeds are paid , the tax deferred earnings will be taxed as ordinary income to your beneficiary . there is a spousal provision whereby if the beneficiary is your spouse they will have the option to continue to defer the taxes in the annuity . when your spouse dies , any deferred earnings still held by the annuity will now be taxable to your spouses beneficiary ."
i lost my health insurance what do i do?,you might call your insurer to see if you can get reinstated you should hurry time is a virtue here if not if you do not have a planner you should speak with one this is very important because he or she can help you have things in place and where you need it .
can you cobra disability insurance?,"no , disability insurance can not be ported '' as healthmedical coverage can under cobra . there is a risk to the insurance company that you could change occupations to something more dangerous or hazardous , or not work at all if you left your current employer . best to contact a local insurance professional to discuss your options ."
what does aetna health insurance cover?,"aetna health insurance plans are available in the vast majority of the us ... either on or off the exchange . there are many different types of policies , so benefits will vary . typically , office visits , prescriptions and major medical expenses are covered , although deductibles , copays and coinsurance may apply to some of these benefits ."
who can get life insurance on you?,"no one can get life insurance on you without your knowledge or signature on the life application . you also have to prove insurable interest '' between the two parties policy insured and the policy beneficiaries . in addition , you would also need to determine the amount of coverage though financial documentation ."
does health insurance pay for tummy tuck?,"health insurance is designed to cover treatment that is medically necessary . a tummy tuck is considered cosmetic surgery , not a medical necessity , so your claim would be denied . if you decide to have the procedure you will pay for the cost out of pocket , and you will pay full retail ."
can term life insurance be used as collateral for a loan?,"yes . when you apply for life insurance , you will need to include a completed collateral assignment form - the rest of the application would be completed as normal . i hope the information is helpful - please feel free to contact me for assistance with your insurance coverage and if you have any other questions . thanks very much ."
is breast cancer covered by critical illness insurance?,"check your policy -lrb- or policy to be purchased -rrb- benefits as not all critical illness plans are built equal . although cancer coverage is typically built into a policy , not all stages are covered . a good rule of thumb however is that any melanoma is covered and cancer in situ is not ."
when to end term life insurance?,"assuming that the term life insurance was purchased to cover a temporary financial liability , does that liability no longer exists ? never terminate coverage until your debt is retired , future obligations secured and charitable intent completed . if any of these items are ongoing , you should consider converting your tern insurance to permanent life insurance ."
when to end term life insurance?,the term insurance plan has a stated end date . some plans allow you to continue coverage at greatly increased premiums . the best time to terminate the policy on your terms is when your obligations have been fulfilled and no one that you love will suffer financially at your passing . since these are the primary reasons people buy life insurance it would seem unnecessary to keep the policy if those needs did not exist any longer .
